code_insee,nom_commune,lon,lat,score_tension,dep
77034,Blandy,2.7880577049180326,48.56031,85.1,77
77069,Chailly-en-Bière,2.614154736842105,48.471351929824564,73.9,77
77097,Chartronges,3.2605505263157895,48.75057131578947,82.2,77
77116,Choisy-en-Brie,3.2100721875,48.7601409375,75.4,77
77162,Doue,3.169667101449275,48.87553898550725,77.2,77
77240,Jouy-sur-Morin,3.2717062711864404,48.79776440677966,86.9,77
77250,Leudon-en-Brie,3.2676079411764705,48.72962617647059,82.2,77
77266,Machault,2.8450174137931032,48.45239344827586,81.3,77
77287,Meilleray,3.4195956363636366,48.797152,81.5,77
77306,Montereau-sur-le-Jard,2.6721104651162793,48.595676279069764,73.4,77
77345,Orly-sur-Morin,3.2252102380952383,48.900086190476195,88.3,77
77398,Sablonnières,3.293740338983051,48.877966101694916,93.0,77
77411,Saint-Germain-sous-Doue,3.1359866666666663,48.85170490196078,80.0,77
77412,Saint-Germain-sur-École,2.5102360714285714,48.475052500000004,72.3,77
77417,Saint-Léger,3.2689745454545456,48.84265431818182,93.0,77
77424,Saint-Martin-du-Boschet,3.427506984126984,48.73529873015873,93.0,77
77432,Saint-Rémy-de-la-Vanne,3.2436736842105263,48.81210561403508,76.3,77
77436,Saint-Siméon,3.1945372222222224,48.80885,70.7,77
77442,Samoreau,2.774223333333333,48.41984545454545,59.0,77
77472,La Trétoire,3.241183770491803,48.88072016393443,93.0,77
77012,Augers-en-Brie,3.348448,48.668260363636364,93.0,77
77020,Bannost-Villegagnon,3.191808923076923,48.673433230769234,86.3,77
77026,Beauchery-Saint-Martin,3.425062089552239,48.59959283582089,85.5,77
77032,Beton-Bazoches,3.2438271212121212,48.70447363636364,81.0,77
77033,Bezalles,3.240700357142857,48.66721178571429,87.2,77
77036,Boisdon,3.226522777777778,48.6773825,85.9,77
77043,Boitron,3.2617480645161288,48.89603774193549,90.8,77
77060,Buthiers,2.4567109433962266,48.28657339622641,75.3,77
77066,Cerneux,3.347397285714286,48.70647114285714,93.0,77
77068,Cessoy-en-Montois,3.1377215625,48.506001875,79.4,77
77072,Chalautre-la-Grande,3.4456660714285716,48.54963071428572,72.7,77
77073,Chalautre-la-Petite,3.306598928571429,48.525905,57.3,77
77076,Chalmaison,3.258739347826087,48.48892130434783,79.9,77
77080,Champcenest,3.279736896551724,48.66804896551724,81.4,77
77088,La Chapelle-la-Reine,2.568578644067797,48.31740016949153,74.8,77
77090,La Chapelle-Saint-Sulpice,3.17998,48.558371388888894,71.2,77
77096,Chartrettes,2.710448780487805,48.49454121951219,74.6,77
77109,Chenoise-Cucharmoy,3.193672702702703,48.621497567567566,76.1,77
77134,Courchamp,3.2917850943396223,48.64405132075472,80.4,77
77137,Courtacon,3.2911375,48.700157,88.9,77
77159,Donnemarie-Dontilly,3.1186983561643835,48.47940273972603,87.7,77
77161,Dormelles,2.8861100000000004,48.31388333333334,72.9,77
77167,Égligny,3.1255553086419754,48.43974728395062,89.2,77
77174,Everly,3.263790952380952,48.45883642857143,76.8,77
77197,Frétoy,3.20031358974359,48.70604410256411,80.9,77
77202,La Genevraye,2.752534901960784,48.314918235294115,59.8,77
77208,Gouaix,3.29390037037037,48.477426666666666,67.4,77
77216,Grez-sur-Loing,2.6872662000000003,48.3080232,48.9,77
77218,Grisy-sur-Seine,3.3180483333333335,48.44011875,85.1,77
77227,Hermé,3.349815918367347,48.482886122448974,60.6,77
77239,Jouy-le-Châtel,3.1470067692307695,48.671876000000005,84.6,77
77242,Jutigny,3.225861,48.49339,70.9,77
